City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Benton,US,2022-08-06 17:24:34,36.3334,-94.3335,91.51,63,0,11.5
220,Manokwari,ID,2022-08-06 17:25:01,-0.8667,134.0833,77.59,73,100,4.36
221,Nanortalik,GL,2022-08-06 17:25:02,60.1432,-45.2371,45.01,95,100,7.31
222,Asfi,MA,2022-08-06 17:25:02,32.2994,-9.2372,76.41,67,1,20.83
223,Male,MV,2022-08-06 17:25:03,4.1748,73.5089,82.35,89,75,12.66
224,Manggar,ID,2022-08-06 17:25:04,-2.8833,108.2667,79.21,80,90,6.62
225,Airai,TL,2022-08-06 17:25:05,-8.9266,125.4092,58.1,95,93,2.62
226,Chapais,CA,2022-08-06 17:25:06,49.7834,-74.8492,74.98,32,92,16.84
227,Rhyl,GB,2022-08-06 17:25:07,53.3196,-3.4886,68.92,46,67,1.99
228,Saint-Louis,SN,2022-08-06 17:25:07,16.3333,-15.0,85.64,39,98,4.68
229,Warangal,IN,2022-08-06 17:25:08,18.0,79.5833,76.01,91,100,5.12
230,Tuatapere,NZ,2022-08-06 17:26:08,-46.1333,167.6833,41.05,98,80,11.18
231,Anantapur,IN,2022-08-06 17:26:09,14.6833,77.6,76.53,80,100,19.66
232,Kruisfontein,ZA,2022-08-06 17:26:10,-34.0033,24.7314,55.89,83,86,10.51
233,Touros,BR,2022-08-06 17:23:59,-5.1989,-35.4608,82.63,65,79,17.0
234,Hambantota,LK,2022-08-06 17:26:10,6.1241,81.1185,78.24,83,100,16.46
235,East London,ZA,2022-08-06 17:26:11,-33.0153,27.9116,59.94,88,0,9.22
236,Port Blair,IN,2022-08-06 17:26:12,11.6667,92.75,82.44,83,100,11.5
237,Toila,EE,2022-08-06 17:26:13,59.4236,27.5025,64.15,71,100,13.04
238,Sao Joao Da Barra,BR,2022-08-06 17:26:13,-21.6403,-41.0511,77.09,64,99,11.5
239,Miri,MY,2022-08-06 17:26:14,4.4148,114.0089,78.94,83,20,4.61
240,Zhangjiakou,CN,2022-08-06 17:26:14,40.81,114.8794,72.52,94,100,4.34
241,Carlos Chagas,BR,2022-08-06 17:26:15,-17.7031,-40.7664,88.16,34,0,11.25
242,Uyskoye,RU,2022-08-06 17:26:15,54.3775,60.0047,66.87,62,64,4.61
243,Kodiak,US,2022-08-06 17:26:16,57.79,-152.4072,54.91,71,100,0.0
244,Baley,RU,2022-08-06 17:26:16,51.6,116.6333,50.83,66,92,4.99
245,Severo-Kurilsk,RU,2022-08-06 17:26:17,50.6789,156.125,52.9,91,100,9.75
246,Acapulco,MX,2022-08-06 17:22:37,16.8634,-99.8901,87.62,58,75,3.44
247,Kibre Mengist,ET,2022-08-06 17:26:18,5.8833,38.9833,64.49,68,91,2.17
248,Coquimbo,CL,2022-08-06 17:26:18,-29.9533,-71.3436,56.93,88,100,9.22
249,Florianopolis,BR,2022-08-06 17:22:31,-27.6146,-48.5012,63.63,59,75,6.91
250,Zhigalovo,RU,2022-08-06 17:26:19,54.8097,105.1578,49.44,96,100,4.72
251,Bairiki,KI,2022-08-06 17:26:19,1.3292,172.9752,77.0,94,40,4.61
252,Teya,RU,2022-08-06 17:26:20,60.3778,92.6267,52.81,89,100,2.59
253,Cururupu,BR,2022-08-06 17:18:27,-1.8283,-44.8683,86.36,59,59,7.94
254,Manzhouli,CN,2022-08-06 17:26:21,49.6,117.4333,59.4,56,94,8.23
255,Geraldton,AU,2022-08-06 17:26:21,-28.7667,114.6,50.41,87,75,9.22
256,Yar-Sale,RU,2022-08-06 17:26:22,66.8333,70.8333,55.67,82,93,6.2
257,Yantai,CN,2022-08-06 17:26:22,37.5333,121.4,80.17,89,55,8.01
258,El Tocuyo,VE,2022-08-06 17:26:23,9.7873,-69.7937,83.16,56,67,7.94
259,Hearst,CA,2022-08-06 17:26:24,49.6835,-83.6665,75.45,84,100,12.06
260,Constitucion,CL,2022-08-06 17:26:24,-35.3333,-72.4167,53.26,96,100,13.78
261,Tabou,CI,2022-08-06 17:26:25,4.423,-7.3528,77.59,64,33,7.76
262,Penticton,CA,2022-08-06 17:26:22,49.4806,-119.5858,73.58,47,0,9.22
263,Los Llanos De Aridane,ES,2022-08-06 17:26:25,28.6585,-17.9182,73.15,69,40,14.97
264,Henties Bay,NA,2022-08-06 17:26:26,-22.116,14.2845,58.28,84,78,4.81
265,Zaysan,KZ,2022-08-06 17:26:26,47.4667,84.8667,70.95,37,86,7.99
266,Pangnirtung,CA,2022-08-06 17:26:27,66.1451,-65.7125,41.0,93,100,5.75
267,Dano,BF,2022-08-06 17:26:28,11.15,-3.0667,83.86,65,74,6.15
268,Samagaltay,RU,2022-08-06 17:26:28,50.6022,95.0047,49.19,50,0,6.49
269,Bambous Virieux,MU,2022-08-06 17:26:29,-20.3428,57.7575,70.05,83,40,11.5
270,Dingle,PH,2022-08-06 17:26:30,10.9995,122.6711,75.24,92,100,3.27
271,Conde,BR,2022-08-06 17:26:30,-7.2597,-34.9075,81.86,69,75,17.27
272,Sola,VU,2022-08-06 17:26:30,-13.8833,167.55,80.44,76,70,15.66
273,Stephenville,US,2022-08-06 17:26:31,32.2207,-98.2023,96.17,30,0,6.91
274,Mtambile,TZ,2022-08-06 17:27:32,-5.3833,39.7,73.56,74,66,13.6
275,Gurun,MY,2022-08-06 17:27:32,5.8172,100.4738,80.73,86,100,0.87
276,Souillac,MU,2022-08-06 17:27:33,-20.5167,57.5167,70.18,83,40,11.5
277,Namibe,AO,2022-08-06 17:27:33,-15.1961,12.1522,63.91,82,53,8.32
278,Bairnsdale,AU,2022-08-06 17:27:34,-37.8333,147.6167,49.05,94,99,3.91
279,Mosetse,BW,2022-08-06 17:27:34,-20.75,26.65,72.93,25,0,0.29
280,San Cristobal,VE,2022-08-06 17:27:35,7.7669,-72.225,73.58,61,98,7.29
281,Balkanabat,TM,2022-08-06 17:27:35,39.5108,54.3671,92.08,23,4,11.21
282,Ilulissat,GL,2022-08-06 17:27:36,69.2167,-51.1,46.42,87,75,5.75
283,Itoman,JP,2022-08-06 17:27:36,26.1247,127.6694,83.17,85,20,5.75
284,Mutoko,ZW,2022-08-06 17:27:37,-17.397,32.2268,62.4,29,0,6.29
285,Tanout,NE,2022-08-06 17:27:38,14.9709,8.8879,96.49,28,61,6.93
286,Oranjemund,NA,2022-08-06 17:27:38,-28.55,16.4333,58.51,70,74,5.06
287,Maryborough,AU,2022-08-06 17:27:39,-25.5333,152.7,56.17,79,88,5.48
288,Shahr-E Babak,IR,2022-08-06 17:27:39,30.1165,55.1186,80.29,18,0,11.9
289,Minden,DE,2022-08-06 17:23:14,52.2833,8.9167,72.68,50,41,12.35
290,Erzin,TR,2022-08-06 17:27:40,36.9559,36.2,76.64,85,0,6.04
291,Puerto Madryn,AR,2022-08-06 17:27:40,-42.7692,-65.0385,46.72,70,100,10.83
292,Northam,GB,2022-08-06 17:27:41,51.0333,-4.2167,67.24,56,10,12.73
