City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Lorengau,PG,-2.0226,147.2712,82.74,75,100,8.77,overcast clouds
271,Araouane,ML,18.9048,-3.5265,67.05,18,84,10.96,broken clouds
272,Leshukonskoye,RU,64.8989,45.7622,4.33,100,89,2.89,overcast clouds
273,Huntsville,US,34.7304,-86.5861,47.1,64,0,1.01,clear sky
274,Basoko,CD,1.2391,23.616,68.65,96,83,2.55,light rain
275,Merauke,ID,-8.4667,140.3333,86.67,67,100,5.99,overcast clouds
276,Saint-Francois,FR,46.4154,3.9054,37.67,93,0,0.0,clear sky
277,Faya,SA,18.3851,42.4509,51.91,64,6,1.01,clear sky
278,Luebo,CD,-5.35,21.4167,68.09,97,89,0.98,overcast clouds
279,Jambi,ID,-1.6,103.6167,77.94,90,99,0.67,overcast clouds
280,Haines Junction,CA,60.7522,-137.5108,22.95,100,100,2.3,overcast clouds
281,Wawa,NG,9.9022,4.4192,73.06,36,1,4.32,clear sky
282,Yenagoa,NG,4.9247,6.2642,75.33,91,5,2.57,clear sky
283,Iqaluit,CA,63.7506,-68.5145,2.93,92,40,3.44,scattered clouds
284,Faanui,PF,-16.4833,-151.75,80.73,71,12,2.44,few clouds
285,Aykhal,RU,66.0,111.5,-10.35,98,100,3.4,overcast clouds
286,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,21.85,scattered clouds
287,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.87,86,100,14.2,overcast clouds
288,Puerto Escondido,MX,15.85,-97.0667,81.43,65,40,3.44,scattered clouds
289,Noumea,NC,-22.2763,166.4572,84.18,65,10,10.78,clear sky
290,Atambua,ID,-9.1061,124.8925,83.07,69,68,1.41,broken clouds
291,Kahului,US,20.8947,-156.47,80.62,67,40,24.16,scattered clouds
292,Dingle,PH,10.9995,122.6711,84.87,75,31,8.23,scattered clouds
293,Inhambane,MZ,-23.865,35.3833,73.0,73,8,9.42,clear sky
294,Omboue,GA,-1.5746,9.2618,76.48,90,100,1.21,overcast clouds
295,Jelling,DK,55.7559,9.4258,40.23,96,100,10.36,mist
296,Ucluelet,CA,48.9329,-125.5528,50.09,89,17,1.99,few clouds
297,Changji,CN,44.0167,87.3167,32.79,93,20,2.24,mist
298,Joensuu,FI,62.6012,29.7632,18.09,93,100,9.22,overcast clouds
299,San Patricio,US,28.017,-97.5169,53.91,86,95,5.28,overcast clouds
300,Aswan,EG,24.0934,32.907,70.34,35,15,11.56,few clouds
301,Leua,SK,48.2156,18.6071,43.5,66,100,8.16,light rain
302,Trinidad,BO,-14.8333,-64.9,74.62,80,99,2.04,overcast clouds
303,Ballina,AU,-28.8667,153.5667,81.01,48,94,7.29,overcast clouds
304,Concarneau,FR,47.875,-3.9225,60.82,90,96,16.35,overcast clouds
305,Naze,JP,28.3667,129.4833,68.92,90,100,11.81,moderate rain
306,Coihaique,CL,-45.5752,-72.0662,57.15,72,75,4.61,broken clouds
307,Sydney,AU,-33.8679,151.2073,81.32,37,0,19.57,clear sky
308,Polunochnoye,RU,60.8697,60.4153,-12.53,100,65,2.15,broken clouds
309,Okato,NZ,-39.2,173.8833,59.68,60,49,18.79,scattered clouds
310,La Tebaida,CO,4.4527,-75.7875,67.77,88,40,0.0,scattered clouds
311,Manado,ID,1.487,124.8455,88.57,66,20,3.44,few clouds
312,Bahraich,IN,27.5833,81.6,59.43,64,35,5.01,scattered clouds
313,Souillac,MU,-20.5167,57.5167,71.98,88,75,3.44,broken clouds
314,Khodz,RU,44.5102,40.7142,46.35,83,58,10.38,broken clouds
315,Mana,GF,5.6592,-53.7767,78.82,81,100,12.21,overcast clouds
316,Luena,AO,-11.7833,19.9167,60.15,98,95,3.76,overcast clouds
317,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
318,Nanortalik,GL,60.1432,-45.2371,33.71,84,100,3.42,overcast clouds
319,Bredasdorp,ZA,-34.5322,20.0403,58.59,82,5,3.36,clear sky
320,Sao Filipe,CV,14.8961,-24.4956,79.27,57,44,13.02,scattered clouds
321,La Palma,US,33.8464,-118.0467,66.81,50,0,4.61,clear sky
322,Port-Gentil,GA,-0.7193,8.7815,79.09,85,89,5.23,overcast clouds
323,Soria,ES,41.6667,-2.6667,51.12,100,100,23.06,overcast clouds
324,Saldanha,ZA,-33.0117,17.9442,59.56,86,0,5.95,clear sky
325,Ahipara,NZ,-35.1667,173.1667,65.44,61,0,13.29,clear sky
326,Ladario,BR,-19.0047,-57.6017,73.44,79,78,4.97,broken clouds
327,Pedernales,DO,18.0384,-71.744,78.93,71,0,6.35,clear sky
328,Tigil,RU,57.8,158.6667,30.69,75,100,20.11,overcast clouds
329,Fortuna,US,40.5982,-124.1573,56.93,90,100,3.44,overcast clouds
330,Tual,ID,-5.6667,132.75,84.69,67,78,0.51,broken clouds
331,Inhuma,BR,-6.6683,-41.7078,78.84,43,35,4.52,scattered clouds
332,Grindavik,IS,63.8424,-22.4338,36.07,75,0,13.8,clear sky
333,Makakilo City,US,21.3469,-158.0858,80.92,58,0,14.97,clear sky
334,Benghazi,LY,32.1167,20.0667,68.23,47,100,16.58,overcast clouds
335,Ulety,RU,51.3572,112.4849,9.27,80,16,0.92,few clouds
336,Ketchikan,US,55.3422,-131.6461,45.07,93,100,4.61,overcast clouds
337,Zhangye,CN,38.9342,100.4517,39.33,33,50,2.95,scattered clouds
338,Sonoita,MX,31.85,-112.8333,63.54,21,99,4.18,overcast clouds
339,Ossora,RU,59.2353,163.0719,37.45,90,95,21.88,overcast clouds
340,Shimoda,JP,34.6667,138.95,57.56,94,100,13.18,moderate rain
341,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,37,0,28.77,clear sky
342,Redlands,US,34.0556,-117.1825,64.33,20,0,6.91,clear sky
343,Pelham,US,33.2857,-86.81,53.4,64,0,3.44,clear sky
344,Samarai,PG,-10.6167,150.6667,85.91,66,48,15.28,scattered clouds
345,Forssa,FI,60.8146,23.6215,26.67,93,73,4.94,broken clouds
